Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
,1.1.1.37,Escherichia coli,R25,Malate dehydrogenase,R00342,MRL,1 SMalate; 1 NAD,1 Oxaloacetate; 1 NADH,Km_SMalate: 1.2603030535307602; Km_NAD: 0.13147300326065803; Km_Oxaloacetate: 0.08351992444282659; Km_NADH: 0.0442289887039013,Kcat_F: 2726.5662251463177; Kcat_R: 4320.255895891388,,,Keq: 0.000023
,2.3.1.39,Escherichia coli,R26,Malonyl CoA-ACP transacylase,R01626,MRL,1 Malonyl_CoA; 1 Acyl_carrier_protein,1 CoA; 1 Malonyl_acyl_carrier_protein,Km_Malonyl_CoA: 0.03438841824450921; Km_Acyl_carrier_protein: 0.1017624079941542; Km_CoA: 0.031107314805819592; Km_Malonyl_acyl_carrier_protein: 0.03448481030361711,Kcat_F: 97.51587018118586; Kcat_R: 84.9899570045508,,,Keq: 1
,1.1.1.42,Escherichia coli,R27,NADP-dependent isocitrate dehydrogenase,R01899,MRL,1 Isocitrate; 1 NADP,1 Oxalosuccinate; 1 NADPH,Km_Isocitrate: 0.11189865901718708; Km_NADP: 0.04674377449071329; Km_Oxalosuccinate: 0.1437981593310746; Km_NADPH: 0.020723435993742705,Kcat_F: 3.9620172932334476; Kcat_R: 5.702890844398523,NADP;n2Oxoglutarate;Oxaloacetate,NADP_KI: 0.02558;n2Oxoglutarate_KI: 1.15148;Oxaloacetate_KI: 0.48011,Keq: 570
,1.1.1.42,Escherichia coli,R28,NADP-dependent isocitrate dehydrogenase,R00268,MRL,1 Oxalosuccinate,1 n2Oxoglutarate; 1 CO2,Km_Oxalosuccinate: 0.1437981593310746; Km_n2Oxoglutarate: 0.3660682008577501; Km_CO2: 1.322881310715026,Kcat_F: 6.542467705023791; Kcat_R: 10.539854356849204,,,Keq: 60
,2.7.4.6,Escherichia coli,R29,Nucleoside-diphosphate kinase,R00331,MRL,1 ATP; 1 NDP,1 ADP; 1 NTP,Km_ATP: 0.2480040007785299; Km_NDP: 0.21672915438883586; Km_ADP: 0.1598043884670067; Km_NTP: 0.24936392530411583,Kcat_F: 7.846931240872985; Kcat_R: 10.307536572357916,,,Keq: 1
,4.1.1.49,Escherichia coli,R30,Phosphoenolpyruvate carboxykinase (ATP),R00341,MRL,1 ATP; 1 Oxaloacetate,1 ADP; 1 Phosphoenolpyruvate; 1 CO2,Km_ATP: 0.3163755163232868; Km_Oxaloacetate: 0.1961956026696293; Km_ADP: 0.2532155880063058; Km_Phosphoenolpyruvate: 0.180670336375561; Km_CO2: 1.2970091610387835,Kcat_F: 8.081519476185354; Kcat_R: 7.768956417721687,,,Keq: 0.01
,4.1.1.31,Escherichia coli,R31,Phosphoenolpyruvate carboxylase,R00345,MRL,1 Orthophosphate; 1 Oxaloacetate,1 H2O; 1 Phosphoenolpyruvate; 1 CO2,Km_Orthophosphate: 0.1810404772268847; Km_Oxaloacetate: 0.0553301476811313; Km_H2O: 0.1143800042395035; Km_Phosphoenolpyruvate: 0.16066256305412296; Km_CO2: 0.18388155178891882,Kcat_F: 7716.463017413926; Kcat_R: 48770.80954409256,SMalate,SMalate_KI: 1.45396,Keq: 8.7e-08
,2.7.9.2,Escherichia coli,R32,Phosphoenolpyruvate synthase,R00199,MRL,1 ATP; 1 Pyruvate; 1 H2O,1 AMP; 1 Phosphoenolpyruvate; 1 Orthophosphate,Km_ATP: 0.12661040231499132; Km_Pyruvate: 0.1464551391613821; Km_H2O: 0.0820656049901017; Km_AMP: 0.016994736587970405; Km_Phosphoenolpyruvate: 0.0727782348025573; Km_Orthophosphate: 0.4579137703044412,Kcat_F: 22.925848169735062; Kcat_R: 28.301341387551513,,,Keq: 7
,5.4.2.2,Escherichia coli,R33,Phosphoglucomutase,R08639,MRL,1 D_Glucose_1_phosphate,1 DGlucose6phosphate,Km_D_Glucose_1_phosphate: 0.023152186217622803; Km_DGlucose6phosphate: 0.017862922849946703,Kcat_F: 187.75574060919513; Kcat_R: 186.55311784454366,,,Keq: 0.7
,2.7.2.3,Escherichia coli,R34,Phosphoglycerate kinase,R01512,MRL,1 ATP; 1 _3_Phospho_D_glycerate,1 ADP; 1 _3_Phospho_D_glyceroyl_phosphate,Km_ATP: 0.3188224999830675; Km__3_Phospho_D_glycerate: 0.4352835120145362; Km_ADP: 0.23343534861901238; Km__3_Phospho_D_glyceroyl_phosphate: 0.1850566465344424,Kcat_F: 516.2806626242962; Kcat_R: 516.5824760027979,,,Keq: 0.00037
